heard_of_imposter_syndrome,year
no,sophomore
no,senior
yes,first-year
yes,first-year
yes,senior
yes,sophomore
yes,junior
yes,senior
no,sophomore
yes,first-year
yes,first-year
no,senior
yes,junior
yes,first-year
yes,first-year
yes,first-year
yes,senior
yes,junior
yes,junior
yes,junior
yes,first-year
yes,senior
yes,junior
yes,sophomore
yes,sophomore
yes,first-year
yes,junior
yes,junior
yes,senior
yes,first-year
no,senior
no,junior
yes,senior
no,first-year
yes,senior
yes,sophomore
yes,first-year
yes,first-year
yes,senior
no,junior
no,sophomore
yes,sophomore
no,sophomore
yes,sophomore
no,first-year
